id,제목,요약,시도,시군구,주제,세부주제,문화원,태그,키워드,썸네일,주소,위도,경도,출판년도,저작권,멀티미디어수,원문URL,수집council
3254,사람으로 변신한 여우를 쫓은 소금장수,"우리나라 설화 가운데 장사꾼이 주인공으로 등장하는 경우가 간혹 있다. 가장 대표적인 것이 「여우 잡은 소금장수」 설화다. 이 설화는 전국적으로 분포하는 민담형태의 이야기다. 사람의 모습으로 변신한 여우를 소금장수가 작대기로 물리친다는 내용이다. 설화 속에 등장하는 소금장수를 비롯한 장사꾼들은 전국의 장터를 떠돌아다니기에 많은 것을 보고 듣는다. 그렇기에 일반인들보다 경험이 풍부하다. 설화 속에서도 일반인들에게 문제가 생기면, 그 문제를 해결해주는 역할을 담당하게 된다.",전국,,문헌과 문학작품에 표현된 시장,시장을 배경으로 한 이야기,한국문화원연합회,시장설화,"설화, 소금장수, 여우, 민담, 기이담",,,,,,,0,https://ncms.nculture.org/market/story/3254,한국문화원연합회
3261,시장에서 사용하던 다양한 용어들 2,"시장 안에는 다양한 형태의 사람들이 모이고, 그 사람들이 나름의 역할들을 하며 운영된다. 그렇기에 다른 공동체와 마찬가지로 시장 안에서만 통용되는 언어들도 존재한다. 이들 언어들은 주로 상행위와 관련한 것들로 시장 생활의 단면을 엿볼 수 있다.",전국,,문헌과 문학작품에 표현된 시장,시장에서 사용하던 구비단문,한국문화원연합회,"시장 관련 용어, 조선시대 시장","시장, 상인, 상거래, 용어, 옛말, 상업용어",,,,,,,0,https://ncms.nculture.org/market/story/3261,한국문화원연합회
3265,거상 임상옥을 주인공으로 한 소설 「상도」,『상도(商道)』는 조선시대 후기의 상인 임상옥(林尙沃 : 1779∼855)의 활동을 다룬 최인호의 소설이다. 임상옥은 200여 년 전에 실재했던 인물이다. 조선시대 후기 국제무역계의 거상(巨商)이었다. 임상옥은 국제무역의 흐름을 꿰뚫고 있었다. 또한 냉혹한 승부사 기질로도 명성을 쌓았다. 한편 그는 항상 겸손하고 신의를 지킬 줄 알았던 인물이었다. 작가 최인호는 소설 『상도』를 통해 한국사회 경제 철학의 모델을 제시하려 하였다.,전국,,문헌과 문학작품에 표현된 시장,시장을 배경으로 한 이야기,한국문화원연합회,소설,"국제무역, 상도, 최인호, 임상옥, 대하소설, 인삼교역",,,,,,,0,https://ncms.nculture.org/market/story/3265,한국문화원연합회
3275,형태에 따른 다양한 장사 용어,"시장에서 물건을 파는 것을 ‘장사’라고 한다. 장사의 형태에 따라서 혼자 하는 경우도 있고, 둘 이상이 같이 하는 경우도 있다. 또한 한 곳에 정착해서 독점적으로 장사하기도 하고, 교통수단과 교통로가 완전하지 않아 여기저기 이동해 다니면서 장사를 하기도 한다. 어울려서 하는 장사를 얼럭장사, 혼자 하는 장사를 외목장사, 이동해 다니며 하는 장사를 도붓장사, 부정기적으로 하는 장사를 뜨내기장사라고 한다.",전국,,문헌과 문학작품에 표현된 시장,시장에서 사용하던 구비단문,한국문화원연합회,시장 관련 용어,"시장, 상인, 상업, 장수, 장사",,,,,,,0,https://ncms.nculture.org/market/story/3275,한국문화원연합회
3278,현대 시장 종사자와 상인조직 현황,"한국의 전통시장은 1980년대 말부터 유통체계가 다변화하면서 침체기를 겪고 있었다. 더욱이 1997년 유통시장이 개방되면서 새로운 산업 환경에 대응하기 위한 변화가 필요하였다. 이에 따라 전통시장을 육성하기 위하여 시설 현대화와 경영 현대화가 지속적으로 이루어지고 있다. 또한 보다 체계적인 지원을 위해 2005년부터 전국적으로 전통시장에 대한 실태조사를 진행하고 있다. 2017년 8월 기준으로 전국에는 1,584개의 시장이 있고, 상인은 368,930명이며, 1331개의 시장이 상인 조직에 가입되어 있다.",전국,,한국 시장의 형성과 변화,시대에 따른 시장의 변화,한국문화원연합회,"전통시장, 현대시장의 특징","전통시장, 상인, 상인조직, 상인연합회, 전국상인연합회",,,,,,,0,https://ncms.nculture.org/market/story/3278,한국문화원연합회
3294,독립운동 단체인 상무동사,"'상무동사'는 일제의 경제 침략에 맞서 우리 민족의 산업을 발전시키기 위해 신민회에 의해 1908년 평안북도 용천에 만들어진 회사이다. 상무동사는 주식회사 형태로 운영되었으며, 수익금 일부는 항일 독립운동 단체인 ‘신민회’의 제정을 지원하였다. 또한, 시장세 납부를 거부하는 ‘백일세항세운동’을 주도하기도 하였다.",전국,,한국 시장의 구성과 운영,,한국문화원연합회,"독립운동, 보부상, 신민회","상무동사, 신민회, 용천장, 시장세, 백일세항세운동",,,,,,,0,https://ncms.nculture.org/market/story/3294,한국문화원연합회
3300,시장의 모습을 보여주는 다양한 속담 3,"시장과 관련해서도 다양한 속담들이 전해진다. 시장과 관련한 속담 속에서는 시장 생활을 통해 습득한 다양한 지혜들이 담겨져 있다. 또한 시장과 관련한 속담을 통해서 시장에서 상인과의 관계, 상행위 등에 대한 모습을 엿볼 수 있다.",전국,,문헌과 문학작품에 표현된 시장,시장에서 사용하던 구비단문,한국문화원연합회,"시장 관련 속담, 시장 관련 용어, 시장 생활 모습","시장, 상인, 구비문학, 속담, 옛말, 구비단문",,,,,,,0,https://ncms.nculture.org/market/story/3300,한국문화원연합회
3301,시전 상인과 난전 상인의 갈등을 기록한 『각전기사』,"조선시대 난전이 지속적으로 늘어나고, 시전 상인과의 갈등 또한 증가하였다. 『각전기사』는 조선시대 정조 연간에 제작되었을 것으로 추정되며, 당시 시전 상인과 난전 상인들의 갈등이 구체적으로 기록되어 있다. 『각전기사』는 현재 교토대학교 도서관에 소장되어 있다.",전국,,문헌과 문학작품에 표현된 시장,문헌에서의 시장,한국문화원연합회,"금난전권, 시전상인, 조선시대 시장, 지역시장","조선시대, 시장, 상인, 시전, 난전, 각전기사",,,,,,,0,https://ncms.nculture.org/market/story/3301,한국문화원연합회
3302,전통시장을 구성한 다양한 상점의 이름들,"장에는 사람들이 항상 몰린다. 그래서 ‘도떼기시장’이라는 말도 생겼다. 시장에는 많은 상점들이 있다. 장옥(場屋), 난전(亂廛), 싸전, 포목점, 토기점, 어물전 등이다. 그런데 전통시장의 상점 가운데 지금은 전해지지 않는 상점과 명칭들이 있다.&nbsp;",전국,,문헌과 문학작품에 표현된 시장,시장에서 사용하던 구비단문,한국문화원연합회,"시장 관련 용어, 시장 생활 모습","시장, 상인, 저자, 상점, 저잣거리",,,,,,,0,https://ncms.nculture.org/market/story/3302,한국문화원연합회
3303,현대시장의 특성별 현황,"정부는 2004년 전통시장의 육성을 위해 『재래시장 및 상점가 육성을 위한 특별법』을 만들었다. 또한 전통시장의 특성을 등록유형, 상권규모, 시장크기, 시장소유, 시장형태, 개설주기, 취급상품, 소재지로 유형화하고 분류하였다. 이는 시장의 형태에 따라 지원내용과 방식에 차이를 두기 위함이다.",전국,,한국 시장의 형성과 변화,시대에 따른 시장의 변화,한국문화원연합회,"전통시장, 현대시장의 특징","전통시장, 재래시장, 현대시장, 등록유형, 상권규모, 시장크기, 시장소유, 시장형태, 개설주기, 취급상품, 소재지",,,,,,,0,https://ncms.nculture.org/market/story/3303,한국문화원연합회
3314,전통시장을 구성한 다양한 사람들의 이름들,"우리나라 전통시장에는 다양한 사람들이 모인다. 물건을 판매하는 사람, 물건을 구매하는 사람, 가격을 흥정하는 사람, 물건을 운반해주는 전문 짐꾼, 시세를 알아보기 위해 나온 장꾼 등이다. 이들은 각기 나름의 이름을 가지고 있었다. 그러나 현대 시장에서는 듣기 어려운 이름이 되었다.&nbsp;",전국,,문헌과 문학작품에 표현된 시장,,한국문화원연합회,"시장 관련 용어, 시장 생활 모습","시장, 전통시장, 상인, 명칭",,,,,,,0,https://ncms.nculture.org/market/story/3314,한국문화원연합회
7607,‘시장세 반대운동’을 통해 일제에 저항하다,일제는 조선을 침탈하면서 경제적인 착취를 위해 우리나라의 조세제도를 대대적으로 정비했다. 시장세는 이러한 과정에서 탄생했다. 시장세는 제도적으로도 절차적으로도 여러 문제가 많았다. 어려움에 처한 시장 상인들은 이에 굴하지 않고 자신들의 목소리를 내고 불합리한 정책에 맞서 저항했다. 20세기 초 대한민국 전역에서 벌어졌던 상인들의 시장세 반대운동은 시민운동이자 민족운동이었다.,전국,,한국 시장의 형성과 변화,현대사의 무대였던 전통시장,한국문화원연합회,"일제강점기, 을사조약, 시장 관련 용어","일제강점기, 시장세, 시장세반대운동, 시민운동, 민족운동",,,,,,,0,https://ncms.nculture.org/market/story/7607,한국문화원연합회
7107,1950년대 시장의 아낙네들을 판화로 담은 빌리 세일러,일본에서 활동했던 독일 작가 빌리 세일러. 그는 1950년대 한국인의 삶을 담은 판화 작품을 남겼다. 그의 작품 속에 등장하는 한국인은 살아 있는 듯한 느껴진다. 특히 한국전쟁 후 가난했던 시절의 고된 삶과 전쟁에서 살아남았다는 안도의 평온함이 묘하게 교차하며 한 편의 영화를 보는 느낌이다. 그의 작품 중 한국의 시장 풍경을 그린 두 편의 작품은 여성을 전면 주인공에 배치함으로써 가난했던 시절 가족을 위해 희생하고 분투했던 이땅의 여성들의 치열했던 이야기를 담았다.,서울특별시,종로구,그림으로 보는 한국의 전통시장,상인을 그린 작가,한국문화원연합회,"풍경화, 시장 생활 모습, 근현대 시장 풍경","시장, 어시장, 동판화, 빌리세일러, 에칭",https://minio.nculture.org/amsweb-opt/multimedia_assets/193/85116/84492/c/%EB%B9%8C%EB%A6%AC-%EC%84%B8%EC%9D%BC%EB%9F%AC_%EB%8B%A4%EC%83%89%EB%8F%99%ED%8C%90%ED%99%94%281%29_%EA%B5%AD%EB%A6%BD%EB%AF%BC%EC%86%8D%EB%B0%95%EB%AC%BC%EA%B4%80_%EC%A0%9C1%EC%9C%A0%ED%98%95-thumb.jpg,서울특별시 종로구 세종로 1-1,37.5808477574564,126.9768513578,2021.0,국립민속박물관,1,https://ncms.nculture.org/market/story/7107,한국문화원연합회
7603,해외에서 먼저 각광받은 기산 김준근의 풍속화 '시장',수수께끼 화가 기산 김준근. 그는 다양한 작품을 남겼지만 그에 대한 기록은 전하지 않는다. 18~19세기 다양한 풍속화를 남긴 기산의 작품은 글로도 사진으로도 전하지 않지만 우리나라 민속사의 중요한 자료이기도 하다. 흥미롭게도 그의 작품은 한국보다 유럽에 많이 남아있다. 아마도 김준근은 역대 한국 화가들 중 가장 많은 작품을 해외에 판매한 작가이자 최초의 한류 예술인이 아니었을까? 그가 남긴 시장 그림은 조선시대 장터의 생생함을 전해준다.,서울특별시,종로구,그림으로 보는 한국의 전통시장,시장을 그린 작품,한국문화원연합회,"풍속화, 풍속화가, 근현대 시장 풍경","김준근, 시장, 풍속화, 기산풍속화, 기산풍속도",https://minio.nculture.org/amsweb-opt/multimedia_assets/185/85107/84472/c/%EA%B8%B0%EC%82%B0-%EA%B9%80%EC%A4%80%EA%B7%BC_%ED%85%AC%EB%A1%9C%EB%A0%A5%EB%8E%A1%28%ED%95%A9%EC%A7%88%29%EC%84%9C%EB%AC%B8_%EB%AC%B8%ED%99%94%EC%9E%AC%EC%B2%AD_%EC%A0%9C1%EC%9C%A0%ED%98%95-thumb.jpg,서울특별시 종로구 세종로 1-1,37.5808477574564,126.9768513578,2021.0,문화재청,1,https://ncms.nculture.org/market/story/7603,한국문화원연합회
7108,경강을 오가던 ‘황포돛배’를 그린 릴리안 메이 밀러,"조선시대부터 경강은 팔도 산물이 모이는 곳이었다. 상인들은 정부의 세곡과 소작미 뿐만 아니라 농산물과 목재, 땔나무 등을 싣고 와서 소금과 새우젓 등으로 교환해갔다. 광나루에서 양화진까지 전국 각지에서 물자를 싣고 온 배가 장을 열었다. 황포돛배는 경강을 오가던 배였다. 화가 릴리안 메이 밀러는 일제강점기 서울에 살면서 한국을 담은 40여 점의 작품을 남겼다. 이중 황포돛배는 당시 경강을 오가던 배의 아름다운 모습을 보여준다.",서울특별시,종로구,그림으로 보는 한국의 전통시장,상인을 그린 작가,서울시문화원연합회,"풍경화, 시장 생활 모습, 근현대 시장 풍경","경강상인, 경강, 목판화, 황포돛배, 릴리안메이밀러",,,,,,,0,https://ncms.nculture.org/market/story/7108,한국문화원연합회
3284,장터를 떠도는 각설이들의「각설이타령」,"각설이는 장터를 비롯해 길거리, 잔칫집, 상가집 등을 돌아다니며 동냥을 하기도 하지만, 청중들을 위로하는 오락적 흥겨움과 축원을 담은 노래를 불러주기도 하였다. 그들은 집단생활을 하였으며, 그들이 부르는 「각설이타령」은 사회에 대한 고발과 풍자적인 표현도 담고 있다.",전국,,문헌과 문학작품에 표현된 시장,시장을 배경으로 한 시와 노래,한국문화원연합회,"판소리, 타령","장터, 민요, 각설이, 각설이타령, 걸립패",,,,,,,0,https://ncms.nculture.org/market/story/3284,한국문화원연합회
3390,일제강점기 일본인의 시선으로 본 시장,"일제강점기 조선총독부에 의해 조선을 대상으로 한 민속 조사가 이루어졌다. 당시 조선총독부의 위탁 신분으로 조선의 민속을 조사한 사람이 무라야마 지준이다. 그는 시장이 조선사회에 미치는 영향에 대해서 사회경제, 사회발전, 사회생활, 사회결합 등으로 나누어 설명하였다.&nbsp;",전국,,문헌과 문학작품에 표현된 시장,문헌에서의 시장,한국문화원연합회,"일제강점기, 조선총독부, 조선시대 시장","시장, 오일장, 조선의 시장, 조선의 장시, 무라야마지준",,,,,,,0,https://ncms.nculture.org/market/story/3390,한국문화원연합회
7248,조선 후기 꿈꾸던 사회가 담긴 태평성시도,"국립중앙박물관에는 1미터가 넘는 비단에 그린 8폭짜리 그림이 있다. 작가와 연대를 알 수 있는 기록이 존재하지 않지만 우리는 이 그림을 “태평성시도”라고 부른다. 몇 가지 단서를 통해 조선 후기 그림일 것이라고 추측만 할 따름이다. 그림 속에 등장하는 갖가지 상점과 그곳에서 일하는 상인들의 모습은 무엇을, 왜, 어떻게 그리게 되었는지 정확히 알 수 없지만 문자등으로 밝힌 ‘태평’을 통해 당대 태평한 도시를 꿈꾸었다는 것을 짐작할 수 있다.",서울특별시,용산구,그림으로 보는 한국의 전통시장,시장을 그린 작품,서울시문화원연합회,"풍경화, 조선시대 시장, 조선시대 시장 거래방식","조선후기, 상업, 국립중앙박물관, 회화, 태평성시도",https://minio.nculture.org/amsweb-opt/multimedia_assets/197/85121/84502/c/%ED%83%9C%ED%8F%89%EC%84%B1%EC%8B%9C%EB%8F%84_%EC%8B%9C%EC%9E%A5-%ED%92%8D%EA%B2%BD_e%EB%AE%A4%EC%A7%80%EC%97%84_%EC%A0%9C1%EC%9C%A0%ED%98%95-thumb.jpg,서울특별시 용산구 서빙고로 137,37.5247022357875,126.977740246542,2021.0,국립중앙박물관,1,https://ncms.nculture.org/market/story/7248,서울시문화원연합회
7854,역사풍속화가 혜촌 김학수의 칠패시와 경동상회,혜촌 김학수는 역사풍속화를 그렸다. 김학수는 작품을 위해서 직접 현장을 답사하고 관련된 문헌자료를 찾아 연구하며 고증을 통해 경관과 역사를 작품에 모두 담고자 했다. 그는 그림을 통해 역사를 전하고자 했다. 김학수는 시장을 소재로 한 작품도 다수 남겼다. 김학수는 조선시대부터 현대까지 시장에 모인 다양한 사람들이 보여주는 활기와 시장의 모습을 수묵필치와 현실감있는 담채로 화폭에 담았다.,서울특별시,동대문구,그림으로 보는 한국의 전통시장,시장을 그린 작품,서울시문화원연합회,"풍속화, 시장 생활 모습, 풍속화가","남대문시장, 경동시장, 역사풍속화, 혜촌김혜수, 칠패시",https://minio.nculture.org/amsweb-opt/multimedia_assets/200/85125/84512/c/%ED%98%9C%EC%B4%8C-%EA%B9%80%ED%95%99%EC%88%98_%EC%88%AD%EB%A1%80%EB%AC%B8%EB%B0%96%EC%98%9B%EC%B9%A0%ED%8C%A8%EC%8B%9C_%EA%B9%80%ED%95%99%EC%88%98%EA%B8%B0%EB%85%90%EB%B0%95%EB%AC%BC%EA%B4%80-thumb.jpg,서울특별시 동대문구 고산자로36길 3 경동시장,37.5790377655561,127.039142935818,2021.0,김학수기념박물관,3,https://ncms.nculture.org/market/story/7854,서울시문화원연합회
7729,조선 후기 도시의 상업활동상을 볼 수 있는  경기감영도(京畿監營圖) 병풍,"경기감영이란 지금의 경기도청과 같은 역할을 담당하던 조선시대 관청이다. <경기감영도>는 조선 후기 돈의문 밖에 위치했던 경기감영과 그 주변 반송방(盤松坊) 지역의 모습을 그린 작품으로, 전체 12폭 병풍으로 이뤄진 작품이다. 작가는 밝혀지지 않았지만 작품 속 건물인 천연정이 1741년(영조17)에 지어졌기 때문에 제작 시기는 그 이후로 추정되고 있다. 경기감영을 비롯해 근처에 위치한 주택, 쌀가게와 약국 등 상업 활동을 하는 건축물과 백성들의 모습이 비교적 상세하게 묘사돼 있어 조선 후기 도시의 생활상을 엿볼 수 있는 중요한 참고자료가 되고 있다.",서울특별시,용산구,그림으로 보는 한국의 전통시장,시장을 그린 작품,서울시문화원연합회,"조선시대 풍속, 조선시대 시장, 조선시대 시장 거래방식","경제, 조선후기, 상업, 파노라마식 기법, 반송방(盤松坊)",https://minio.nculture.org/amsweb-opt/multimedia_assets/183/85105/84469/c/%EA%B2%BD%EA%B8%B0%EA%B0%90%EC%98%81%EB%8F%84-%EB%B3%91%ED%92%8D_%EA%B2%BD%EA%B8%B0%EA%B0%90%EC%98%81%EB%8F%84-%EB%B3%91%ED%92%8D_%EB%AC%B8%ED%99%94%EC%9E%AC%EC%B2%AD_%EC%A0%9C1%EC%9C%A0%ED%98%95-thumb.jpg,한남동 742-19 (삼성미술관),37.5380474404643,126.999336731955,2021.0,문화재청,1,https://ncms.nculture.org/market/story/7729,서울시문화원연합회
