place_id,canonical_name,lat,lng,address,category,sub_category,keywords,district,image_url,source_url,source,location_confidence
POI_56A1EF40,서울놀이마당,37.5093666387938,127.098198247427,서울 송파구 잠실로 124 서울놀이마당,공연장,,,송파구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c8f4ae77ecd741fb945ce4c732a30869&thumb=Y,https://blog.naver.com/norimadang_,서울시문화공간,A
POI_45D49C06,서울대입구(관악구청),37.48122,126.952728,,지명,,,,,,서울역사편찬원,A
POI_FEA1E24B,서울대학교 미술관,37.4662872666604,126.94815644252,서울특별시 관악구 관악로 1,미술관/갤러리,,,관악구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cc293fadcd5743dc9fd30defff841af3&thumb=Y,http://www.snumoa.org,서울시문화공간,A
POI_2B644B3B,서울대학교 음악대학 예술관,37.4662872666604,126.94815644252,서울특별시 관악구 관악로 1. 서울대학교 49동,공연장,,,관악구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d959098bccbf4f7f8d8041e2d707db38&thumb=Y,https://music.snu.ac.kr/content/arts_center,서울시문화공간,A
POI_0091644B,서울대학교박물관,37.4662872666604,126.94815644252,서울특별시 관악구 관악로 1,박물관/기념관,,,관악구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=27f148fb672c4cc1b6b20751ba92d09b&thumb=Y,http://museum.snu.ac.kr,서울시문화공간,A
POI_932823C4,서울대학교병원 의학박물관,37.5804523853297,126.997196437908,서울특별시 종로구 대학로 101,박물관/기념관,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=aeac849c1e7440f9b9eb37e4a5f9f369&thumb=Y,http://www.medicalmuseum.org,서울시문화공간,A
POI_B7F00962,서울도서관,37.5663174209601,126.977829174031,서울특별시 중구 세종대로 110,도서관,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a9e26b815aa474db51ffd965280d537&thumb=Y,https://lib.seoul.go.kr/,서울시문화공간,A
POI_294C62E8,서울도시건축센터,37.5685333472923,126.968746691077,서울특별시 종로구 송월길 2 돈의문박물관마을 내,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=85ee5718f2f045f58eb10ee7efb3e02a&thumb=Y,https://sca.seoul.go.kr,서울시문화공간,A
POI_37F5ACA4,서울도시건축전시관,37.5668837502225,126.976702419575,서울특별시 중구 세종대로 119,박물관/기념관,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=953f1237c1e046a29d3e20c420adafcf&thumb=Y,https://sca.seoul.go.kr/seoulhour/site/urbanArch/home,서울시문화공간,A
POI_36563A27,서울돈화문국악당,37.5772502822,126.9907306641,서울  종로구 와룡동 12-2,공연장,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=551aebe187b245b29850109fd7872291&thumb=Y,https://sgtt.kr/,서울시문화공간,A
POI_AD4087B0,서울로미디어캔버스,37.5566331857979,126.968148438254,서울특별시 중구 만리재로 215,공공시설,,,,,https://www.instagram.com/mediaartseoul,서울시야경명소,A
POI_22253893,서울로봇인공지능과학관,37.6555838047766,127.049506212905,서울특별시 도봉구 마들로13길 56,기타,,,도봉구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ebdebdf756be4e79a480a765db8ca372&thumb=Y,https://science.seoul.go.kr/RAIM/index.do,서울시문화공간,A
POI_D1B56B57,서울마포음악창작소,37.5550704891351,126.957534741247,서울특별시 마포구 마포대로 지하 238,공연장,,,마포구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f804102793e440df9ada61fb7d20791c&thumb=Y,https://mapoindie.or.kr/index.asp,서울시문화공간,A
POI_614A302B,서울무용센터,37.5830598426,126.9278728999,서울 서대문구 명지2길 14,기타,,,서대문구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f237935ed8c9497c8e844e09d2397ed6&thumb=Y,http://www.sfac.or.kr/artspace/artspace/dance_main.do,서울시문화공간,A
POI_9206135C,서울무형유산교육전시장,37.5769351431409,126.991104508988,서울특별시 종로구 율곡로 10길 13,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8637df0446fb4e86a6a7a65572633b4c&thumb=Y,http://seoulmaster.co.kr/index.php,서울시문화공간,A
POI_B2E5DB2D,서울문화예술교육센터 강북,37.6195551709225,127.017722183323,서울특별시 강북구 솔샘로48길 14,기타,,,강북구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=774af45453c7487293ae9f03b9115a0f&thumb=Y,https://www.sfac.or.kr/artspace/artspace/gangbuk_main.do,서울시문화공간,A
POI_FF7B4022,서울문화예술교육센터 서초,37.5047177127649,126.998308072811,서울특별시 서초구 신반포로19길 6,기타,,,서초구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ec6d48892b5543418592c7969d813c28&thumb=Y,https://www.sfac.or.kr/artspace/artspace/seocho_main.do?groupCtgry=g5,서울시문화공간,A
POI_2C4E212E,서울문화예술교육센터 양천,37.5282197824835,126.832145349117,서울특별시 양천구 남부순환로64길 2,기타,,,양천구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4bbdae9a5d194488a7a92ddd590787e8&thumb=Y,https://www.sfac.or.kr/artspace/artspace/arteducation_main.do,서울시문화공간,A
POI_60EECB67,서울문화예술교육센터 용산,37.5269056148241,126.966566172294,"서울특별시 용산구 서빙고로 17 업무동 1층, 공공시설동 5-6층",기타,,,용산구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7dfaceb67ea443b588c6cb565af5b3ae&thumb=Y,https://www.sfac.or.kr/artspace/artspace/artsedu_main.do?groupCtgry=g5,서울시문화공간,A
POI_BEB8BC64,서울문화예술교육센터 은평,37.5851270962157,126.893782364905,서울특별시 은평구 수색로 322-2,기타,,,은평구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=961cb5783f61418bbc00267aeddced65&thumb=Y,https://scecep.creatorlink.net/,서울시문화공간,A
POI_C99E9010,서울문화재단 대학로센터,37.5836990003446,127.00371665858,서울특별시 종로구 동숭길 122,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dfcf321b8f9c43bc901e2e1c4de124a0&thumb=Y,https://www.sfac.or.kr/artspace/artspace/sfac_daehakro_main.do,서울시문화공간,A
POI_C13C793E,서울백제어린이박물관,37.523991,127.124412,서울특별시 송파구 올림픽로 424,박물관/기념관,,,송파구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0998213d9da746288d407c9f6ca45736&thumb=Y,https://baekjemuseum.seoul.go.kr/dreamvillage/index.jsp,서울시문화공간,A
POI_5EB8E8CD,서울상상나라,37.550550,127.077569,서울  광진구 능동로 216,박물관/기념관,,,광진구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4462cabcd74c4d9a9fff66d4efeebf9f&thumb=Y,http://www.seoulchildrensmuseum.org,서울시문화공간,A
POI_37434D82,서울새활용플라자,37.5586850612677,127.057851176035,서울특별시 성동구 자동차시장길 49,기타,,,성동구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ae9386b6c904d8e8ed529ecb51b80fd&thumb=Y,http://www.seoulup.or.kr/,서울시문화공간,A
